temperature,windspeed,precipitation,humidity,cloudcover
6.5,3.8,0.0,100,100
10.1,4.0,0.0,88,100
10.5,4.0,0.0,87,100
11.2,5.8,0.0,85,100
11.8,5.8,0.0,80,73
12.9,4.7,0.0,72,78
13.7,3.3,0.0,70,62
14.8,3.4,0.0,67,39
15.7,4.8,0.0,62,31
16.1,6.4,0.0,62,21
16.2,7.7,0.0,62,11
15.7,8.2,0.0,66,3
13.2,5.6,0.0,80,1
10.6,6.1,0.0,90,10
9.6,5.9,0.0,93,0
8.9,6.0,0.0,93,0
8.0,5.7,0.0,95,0
7.1,6.5,0.0,96,0
6.5,7.0,0.0,97,0
5.8,8.2,0.0,98,0
5.5,7.9,0.0,99,0
4.8,7.7,0.0,100,0
4.7,6.4,0.0,100,0
4.8,4.9,0.0,100,100
4.8,4.3,0.0,100,100
7.6,6.1,0.0,93,98
7.9,5.3,0.0,93,89
8.8,5.5,0.0,90,90
10.0,4.0,0.0,82,77
11.3,1.1,0.0,73,65
12.4,1.1,0.0,69,64
13.5,2.2,0.0,66,11
14.6,3.3,0.0,63,8
15.3,4.0,0.0,63,4
15.4,5.6,0.0,64,1
14.8,6.8,0.0,66,3
11.7,7.9,0.0,82,1
9.6,6.4,0.0,90,2
8.9,6.9,0.0,92,0
7.9,6.6,0.0,93,0
6.9,8.2,0.0,95,0
6.6,7.2,0.0,95,1
6.3,6.5,0.0,96,0
6.1,6.1,0.0,96,0
5.1,6.9,0.0,99,29
4.8,7.8,0.0,100,54
5.3,6.8,0.0,100,100
5.8,5.4,0.0,100,100
5.2,2.6,0.0,100,100
6.2,4.2,0.0,99,100
6.8,3.8,0.0,100,100
7.7,3.1,0.0,98,100
8.9,3.6,0.0,98,100
10.3,3.1,0.0,92,100
12.8,2.9,0.0,81,52
14.7,0.8,0.0,69,62
15.6,4.2,0.0,66,39
15.9,6.8,0.0,65,19
15.8,7.1,0.0,66,20
15.2,7.0,0.0,68,14
12.4,8.2,0.0,83,0
11.6,10.4,0.0,81,0
10.2,8.7,0.0,87,0
9.1,6.8,0.0,93,6
8.4,5.3,0.0,94,10
7.7,5.4,0.0,96,12
7.7,5.2,0.0,96,11
7.3,5.5,0.0,96,7
6.6,6.6,0.0,97,3
6.3,6.2,0.0,97,1
5.8,5.4,0.0,99,4
5.4,4.6,0.0,100,9
5.2,4.2,0.0,100,99
8.8,5.8,0.0,90,44
9.1,5.0,0.0,89,96
9.8,6.2,0.0,86,57
11.7,7.2,0.0,80,34
13.8,7.3,0.0,73,8
15.4,7.4,0.0,68,1
16.8,3.4,0.0,64,54
17.6,2.9,0.0,60,66
17.9,3.3,0.0,58,36
18.0,3.3,0.0,57,35
17.7,4.9,0.0,58,22
15.9,7.7,0.0,67,2
13.7,8.3,0.0,80,100
13.2,9.3,0.0,82,100
12.5,10.2,0.0,85,61
10.9,9.3,0.0,93,0
9.9,7.4,0.0,95,3
8.9,6.0,0.0,97,21
8.7,5.9,0.0,97,96
8.5,5.3,0.0,98,96
8.6,5.2,0.0,98,100
9.2,6.3,0.0,97,100
9.7,7.9,0.0,95,26
9.3,6.6,0.0,97,56
10.5,6.1,0.1,92,100
10.5,5.2,0.0,93,100
11.0,4.4,0.0,90,83
11.8,4.0,0.0,87,72
12.9,4.4,0.0,82,27
15.0,4.0,0.0,75,68
16.7,3.6,0.0,67,100
16.9,4.8,0.0,65,100
17.1,3.4,0.0,63,98
17.3,2.6,0.0,61,29
17.2,5.0,0.0,60,34
16.2,6.1,0.0,65,73
11.2,6.6,0.0,90,8
10.5,7.6,0.0,92,9
9.8,6.8,0.0,94,9
9.1,6.6,0.0,95,4
8.4,7.3,0.0,96,2
7.4,9.7,0.0,97,3
7.3,9.0,0.0,97,9
7.6,6.6,0.0,98,12
6.6,7.1,0.0,99,8
6.4,5.7,0.0,100,100
6.7,4.7,0.0,100,100
7.2,4.6,0.0,100,100
9.2,6.2,0.0,96,100
9.6,6.2,0.0,95,100
10.9,4.2,0.0,90,100
12.4,5.8,0.0,84,100
13.6,7.4,0.0,77,53
14.9,7.3,0.0,67,60
15.7,7.3,0.0,62,63
16.4,5.6,0.0,59,95
16.9,4.3,0.0,58,16
16.9,4.3,0.0,58,0
16.6,3.9,0.0,59,1
13.7,6.1,0.0,75,4
12.6,4.0,0.0,79,53
12.8,4.0,0.0,79,90
12.7,6.2,0.0,78,100
12.2,6.1,0.0,79,100
11.1,5.0,0.0,84,96
11.1,6.9,0.0,84,70
10.7,6.4,0.0,85,19
10.2,5.5,0.0,86,93
9.9,5.2,0.0,88,56
9.1,6.4,0.0,93,2
9.1,6.5,0.0,93,98
9.5,5.6,0.0,93,98
6.2,6.5,0.0,96,0
6.2,5.4,0.0,95,0
8.6,6.1,0.0,89,0
11.5,3.4,0.0,80,0
13.8,3.3,0.0,72,0
15.2,2.9,0.0,66,0
16.2,4.1,0.0,62,0
17.0,4.7,0.0,60,2
17.5,4.2,0.0,58,0
17.5,3.4,0.0,58,0
17.1,2.2,0.0,59,0
16.5,2.6,0.0,61,0
11.2,4.3,0.0,82,0
9.7,5.2,0.0,89,0
9.1,6.1,0.0,91,1
8.6,7.1,0.0,92,5
8.1,6.9,0.0,93,14
7.6,6.2,0.0,93,16
6.8,6.8,0.0,95,6
6.6,6.9,0.0,95,5
6.8,6.6,0.0,95,9
6.3,7.9,0.0,96,12
6.1,7.9,0.0,97,12
